"Plot Title: RSAT 1280507 20170518"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280507, SEN S/N: 1280507)","Temp, °C (LGR S/N: 1280507, SEN S/N: 1280507)","Coupler Detached (LGR S/N: 1280507)","Coupler Attached (LGR S/N: 1280507)","Stopped (LGR S/N: 1280507)","End Of File (LGR S/N: 1280507)"
1,08/21/17 11:30:00 AM,74911,13.558,,,,
2,08/21/17 11:30:04 AM,,,Logged,,,
3,08/21/17 11:45:00 AM,78845,13.269,,,,
4,08/21/17 12:00:00 PM,78833,13.269,,,,
5,08/21/17 12:15:00 PM,78833,13.269,,,,
6,08/21/17 12:30:00 PM,78833,13.269,,,,
7,08/21/17 12:45:00 PM,78833,13.269,,,,
8,08/21/17 01:00:00 PM,78821,13.269,,,,
9,08/21/17 01:15:00 PM,78831,13.173,,,,
10,08/21/17 01:30:00 PM,78818,13.173,,,,
11,08/21/17 01:45:00 PM,78831,13.173,,,,
12,08/21/17 02:00:00 PM,78831,13.173,,,,
13,08/21/17 02:15:00 PM,78831,13.173,,,,
14,08/21/17 02:30:00 PM,78880,13.173,,,,
15,08/21/17 02:45:00 PM,78880,13.173,,,,
16,08/21/17 03:00:00 PM,78867,13.173,,,,
17,08/21/17 03:15:00 PM,78867,13.173,,,,
18,08/21/17 03:30:00 PM,78867,13.173,,,,
19,08/21/17 03:45:00 PM,78880,13.173,,,,
20,08/21/17 04:00:00 PM,78865,13.076,,,,
21,08/21/17 04:15:00 PM,78840,13.076,,,,
22,08/21/17 04:30:00 PM,78840,13.076,,,,
23,08/21/17 04:45:00 PM,78828,13.076,,,,
24,08/21/17 05:00:00 PM,78816,13.076,,,,
25,08/21/17 05:15:00 PM,78816,13.076,,,,
26,08/21/17 05:30:00 PM,78804,13.076,,,,
27,08/21/17 05:45:00 PM,78816,13.076,,,,
28,08/21/17 06:00:00 PM,78816,13.076,,,,
29,08/21/17 06:15:00 PM,78828,13.076,,,,
30,08/21/17 06:30:00 PM,78828,13.076,,,,
31,08/21/17 06:45:00 PM,78816,13.076,,,,
32,08/21/17 07:00:00 PM,78828,13.076,,,,
33,08/21/17 07:15:00 PM,78853,13.076,,,,
34,08/21/17 07:30:00 PM,78877,13.076,,,,
35,08/21/17 07:45:00 PM,78890,13.076,,,,
36,08/21/17 08:00:00 PM,78890,13.076,,,,
37,08/21/17 08:15:00 PM,78902,13.076,,,,
38,08/21/17 08:30:00 PM,78926,13.076,,,,
39,08/21/17 08:45:00 PM,78926,13.076,,,,
40,08/21/17 09:00:00 PM,78976,13.076,,,,
41,08/21/17 09:15:00 PM,78976,13.076,,,,
42,08/21/17 09:30:00 PM,79012,13.076,,,,
43,08/21/17 09:45:00 PM,79025,13.076,,,,
44,08/21/17 10:00:00 PM,79037,13.076,,,,
45,08/21/17 10:15:00 PM,79049,13.076,,,,
46,08/21/17 10:30:00 PM,79074,13.076,,,,
47,08/21/17 10:45:00 PM,79086,13.076,,,,
48,08/21/17 11:00:00 PM,79086,13.076,,,,
49,08/21/17 11:15:00 PM,79111,13.076,,,,
50,08/21/17 11:30:00 PM,79111,13.076,,,,
51,08/21/17 11:45:00 PM,79120,12.980,,,,
52,08/22/17 12:00:00 AM,79133,12.980,,,,
53,08/22/17 12:15:00 AM,79120,12.980,,,,
54,08/22/17 12:30:00 AM,79133,12.980,,,,
55,08/22/17 12:45:00 AM,79133,12.980,,,,
56,08/22/17 01:00:00 AM,79133,12.980,,,,
57,08/22/17 01:15:00 AM,79120,12.980,,,,
58,08/22/17 01:30:00 AM,79133,12.980,,,,
59,08/22/17 01:45:00 AM,79120,12.980,,,,
60,08/22/17 02:00:00 AM,79120,12.980,,,,
61,08/22/17 02:15:00 AM,79120,12.980,,,,
62,08/22/17 02:30:00 AM,79108,12.980,,,,
63,08/22/17 02:45:00 AM,79120,12.980,,,,
64,08/22/17 03:00:00 AM,79096,12.980,,,,
65,08/22/17 03:15:00 AM,79084,12.980,,,,
66,08/22/17 03:30:00 AM,79084,12.980,,,,
67,08/22/17 03:45:00 AM,79059,12.980,,,,
68,08/22/17 04:00:00 AM,79071,12.980,,,,
69,08/22/17 04:15:00 AM,79047,12.980,,,,
70,08/22/17 04:30:00 AM,79056,12.883,,,,
71,08/22/17 04:45:00 AM,79056,12.883,,,,
72,08/22/17 05:00:00 AM,79081,12.883,,,,
73,08/22/17 05:15:00 AM,79069,12.883,,,,
74,08/22/17 05:30:00 AM,79093,12.883,,,,
75,08/22/17 05:45:00 AM,79081,12.883,,,,
76,08/22/17 06:00:00 AM,79093,12.883,,,,
77,08/22/17 06:15:00 AM,79103,12.787,,,,
78,08/22/17 06:30:00 AM,79115,12.787,,,,
79,08/22/17 06:45:00 AM,79128,12.787,,,,
80,08/22/17 07:00:00 AM,79140,12.787,,,,
81,08/22/17 07:15:00 AM,79152,12.787,,,,
82,08/22/17 07:30:00 AM,79140,12.787,,,,
83,08/22/17 07:45:00 AM,79177,12.787,,,,
84,08/22/17 08:00:00 AM,79164,12.787,,,,
85,08/22/17 08:15:00 AM,79177,12.787,,,,
86,08/22/17 08:30:00 AM,79177,12.787,,,,
87,08/22/17 08:45:00 AM,79152,12.787,,,,
88,08/22/17 09:00:00 AM,79179,12.883,,,,
89,08/22/17 09:15:00 AM,79192,12.883,,,,
90,08/22/17 09:30:00 AM,79179,12.883,,,,
91,08/22/17 09:45:00 AM,79179,12.883,,,,
92,08/22/17 10:00:00 AM,79204,12.883,,,,
93,08/22/17 10:15:00 AM,79204,12.883,,,,
94,08/22/17 10:30:00 AM,79192,12.883,,,,
95,08/22/17 10:45:00 AM,79192,12.883,,,,
96,08/22/17 11:00:00 AM,79204,12.883,,,,
97,08/22/17 11:15:00 AM,79206,12.980,,,,
98,08/22/17 11:30:00 AM,79182,12.980,,,,
99,08/22/17 11:45:00 AM,79182,12.980,,,,
100,08/22/17 12:00:00 PM,79170,12.980,,,,
101,08/22/17 12:15:00 PM,79157,12.980,,,,
102,08/22/17 12:30:00 PM,79182,12.980,,,,
103,08/22/17 12:45:00 PM,79145,12.980,,,,
104,08/22/17 01:00:00 PM,79133,12.980,,,,
105,08/22/17 01:15:00 PM,79120,12.980,,,,
106,08/22/17 01:30:00 PM,79120,12.980,,,,
107,08/22/17 01:45:00 PM,79120,12.980,,,,
108,08/22/17 02:00:00 PM,79120,12.980,,,,
109,08/22/17 02:15:00 PM,79133,12.980,,,,
110,08/22/17 02:30:00 PM,79108,12.980,,,,
111,08/22/17 02:45:00 PM,79120,12.980,,,,
112,08/22/17 03:00:00 PM,79086,13.076,,,,
113,08/22/17 03:15:00 PM,79062,13.076,,,,
114,08/22/17 03:30:00 PM,79037,13.076,,,,
115,08/22/17 03:45:00 PM,79049,13.076,,,,
116,08/22/17 04:00:00 PM,79049,13.076,,,,
117,08/22/17 04:15:00 PM,79037,13.076,,,,
118,08/22/17 04:30:00 PM,79012,13.076,,,,
119,08/22/17 04:45:00 PM,79000,13.076,,,,
120,08/22/17 05:00:00 PM,78976,13.076,,,,
121,08/22/17 05:15:00 PM,78988,13.076,,,,
122,08/22/17 05:30:00 PM,78988,13.076,,,,
123,08/22/17 05:45:00 PM,79012,13.076,,,,
124,08/22/17 06:00:00 PM,78988,13.076,,,,
125,08/22/17 06:15:00 PM,78988,13.076,,,,
126,08/22/17 06:30:00 PM,78963,13.076,,,,
127,08/22/17 06:45:00 PM,79025,13.076,,,,
128,08/22/17 07:00:00 PM,79074,13.076,,,,
129,08/22/17 07:15:00 PM,79037,13.076,,,,
130,08/22/17 07:30:00 PM,79000,13.076,,,,
131,08/22/17 07:45:00 PM,79037,13.076,,,,
132,08/22/17 08:00:00 PM,79037,13.076,,,,
133,08/22/17 08:15:00 PM,79062,13.076,,,,
134,08/22/17 08:30:00 PM,79074,13.076,,,,
135,08/22/17 08:45:00 PM,79074,13.076,,,,
136,08/22/17 09:00:00 PM,79098,13.076,,,,
137,08/22/17 09:15:00 PM,79086,13.076,,,,
138,08/22/17 09:30:00 PM,79135,13.076,,,,
139,08/22/17 09:45:00 PM,79148,13.076,,,,
140,08/22/17 10:00:00 PM,79160,13.076,,,,
141,08/22/17 10:15:00 PM,79184,13.076,,,,
142,08/22/17 10:30:00 PM,79182,12.980,,,,
143,08/22/17 10:45:00 PM,79182,12.980,,,,
144,08/22/17 11:00:00 PM,79157,12.980,,,,
145,08/22/17 11:15:00 PM,79170,12.980,,,,
146,08/22/17 11:30:00 PM,79157,12.980,,,,
147,08/22/17 11:45:00 PM,79157,12.980,,,,
148,08/23/17 12:00:00 AM,79133,12.980,,,,
149,08/23/17 12:15:00 AM,79145,12.980,,,,
150,08/23/17 12:30:00 AM,79145,12.980,,,,
151,08/23/17 12:45:00 AM,79157,12.980,,,,
152,08/23/17 01:00:00 AM,79145,12.980,,,,
153,08/23/17 01:15:00 AM,79145,12.980,,,,
154,08/23/17 01:30:00 AM,79133,12.980,,,,
155,08/23/17 01:45:00 AM,79157,12.980,,,,
156,08/23/17 02:00:00 AM,79157,12.980,,,,
157,08/23/17 02:15:00 AM,79182,12.980,,,,
158,08/23/17 02:30:00 AM,79170,12.980,,,,
159,08/23/17 02:45:00 AM,79157,12.980,,,,
160,08/23/17 03:00:00 AM,79133,12.980,,,,
161,08/23/17 03:15:00 AM,79096,12.980,,,,
162,08/23/17 03:30:00 AM,79096,12.980,,,,
163,08/23/17 03:45:00 AM,79071,12.980,,,,
164,08/23/17 04:00:00 AM,79071,12.980,,,,
165,08/23/17 04:15:00 AM,79084,12.980,,,,
166,08/23/17 04:30:00 AM,79071,12.980,,,,
167,08/23/17 04:45:00 AM,79071,12.980,,,,
168,08/23/17 05:00:00 AM,79081,12.883,,,,
169,08/23/17 05:15:00 AM,79081,12.883,,,,
170,08/23/17 05:30:00 AM,79081,12.883,,,,
171,08/23/17 05:45:00 AM,79056,12.883,,,,
172,08/23/17 06:00:00 AM,79069,12.883,,,,
173,08/23/17 06:15:00 AM,79069,12.883,,,,
174,08/23/17 06:30:00 AM,79069,12.883,,,,
175,08/23/17 06:45:00 AM,79069,12.883,,,,
176,08/23/17 07:00:00 AM,79069,12.883,,,,
177,08/23/17 07:15:00 AM,79081,12.883,,,,
178,08/23/17 07:30:00 AM,79069,12.883,,,,
179,08/23/17 07:45:00 AM,79069,12.883,,,,
180,08/23/17 08:00:00 AM,79081,12.883,,,,
181,08/23/17 08:15:00 AM,79069,12.883,,,,
182,08/23/17 08:30:00 AM,79081,12.883,,,,
183,08/23/17 08:45:00 AM,79069,12.883,,,,
184,08/23/17 09:00:00 AM,79069,12.883,,,,
185,08/23/17 09:15:00 AM,79056,12.883,,,,
186,08/23/17 09:30:00 AM,79044,12.883,,,,
187,08/23/17 09:45:00 AM,79047,12.980,,,,
188,08/23/17 10:00:00 AM,79071,12.980,,,,
189,08/23/17 10:15:00 AM,79059,12.980,,,,
190,08/23/17 10:30:00 AM,79047,12.980,,,,
191,08/23/17 10:45:00 AM,79022,12.980,,,,
192,08/23/17 11:00:00 AM,78998,12.980,,,,
193,08/23/17 11:15:00 AM,78998,12.980,,,,
194,08/23/17 11:30:00 AM,78998,12.980,,,,
195,08/23/17 11:45:00 AM,79010,12.980,,,,
196,08/23/17 12:00:00 PM,79071,12.980,,,,
197,08/23/17 12:15:00 PM,79059,12.980,,,,
198,08/23/17 12:30:00 PM,79059,12.980,,,,
199,08/23/17 12:45:00 PM,79037,13.076,,,,
200,08/23/17 01:00:00 PM,79012,13.076,,,,
201,08/23/17 01:15:00 PM,78976,13.076,,,,
202,08/23/17 01:30:00 PM,78939,13.076,,,,
203,08/23/17 01:45:00 PM,78914,13.076,,,,
204,08/23/17 02:00:00 PM,78926,13.076,,,,
205,08/23/17 02:15:00 PM,78926,13.076,,,,
206,08/23/17 02:30:00 PM,78914,13.076,,,,
207,08/23/17 02:45:00 PM,78926,13.076,,,,
208,08/23/17 03:00:00 PM,78951,13.076,,,,
209,08/23/17 03:15:00 PM,78914,13.076,,,,
210,08/23/17 03:30:00 PM,78890,13.076,,,,
211,08/23/17 03:45:00 PM,78877,13.076,,,,
212,08/23/17 04:00:00 PM,78865,13.076,,,,
213,08/23/17 04:15:00 PM,78828,13.076,,,,
214,08/23/17 04:30:00 PM,78779,13.076,,,,
215,08/23/17 04:45:00 PM,78779,13.076,,,,
216,08/23/17 05:00:00 PM,78767,13.076,,,,
217,08/23/17 05:15:00 PM,78779,13.076,,,,
218,08/23/17 05:30:00 PM,78779,13.076,,,,
219,08/23/17 05:45:00 PM,78769,13.173,,,,
220,08/23/17 06:00:00 PM,78757,13.173,,,,
221,08/23/17 06:15:00 PM,78732,13.173,,,,
222,08/23/17 06:30:00 PM,78769,13.173,,,,
223,08/23/17 06:45:00 PM,78757,13.173,,,,
224,08/23/17 07:00:00 PM,78757,13.173,,,,
225,08/23/17 07:15:00 PM,78720,13.173,,,,
226,08/23/17 07:30:00 PM,78720,13.173,,,,
227,08/23/17 07:45:00 PM,78732,13.173,,,,
228,08/23/17 08:00:00 PM,78720,13.173,,,,
229,08/23/17 08:15:00 PM,78745,13.173,,,,
230,08/23/17 08:30:00 PM,78757,13.173,,,,
231,08/23/17 08:45:00 PM,78769,13.173,,,,
232,08/23/17 09:00:00 PM,78781,13.173,,,,
233,08/23/17 09:15:00 PM,78794,13.173,,,,
234,08/23/17 09:30:00 PM,78818,13.173,,,,
235,08/23/17 09:45:00 PM,78791,13.076,,,,
236,08/23/17 10:00:00 PM,78791,13.076,,,,
237,08/23/17 10:15:00 PM,78779,13.076,,,,
238,08/23/17 10:30:00 PM,78779,13.076,,,,
239,08/23/17 10:45:00 PM,78767,13.076,,,,
240,08/23/17 11:00:00 PM,78779,13.076,,,,
241,08/23/17 11:15:00 PM,78779,13.076,,,,
242,08/23/17 11:30:00 PM,78804,13.076,,,,
243,08/23/17 11:45:00 PM,78816,13.076,,,,
244,08/24/17 12:00:00 AM,78828,13.076,,,,
245,08/24/17 12:15:00 AM,78828,13.076,,,,
246,08/24/17 12:30:00 AM,78840,13.076,,,,
247,08/24/17 12:45:00 AM,78816,13.076,,,,
248,08/24/17 01:00:00 AM,78816,13.076,,,,
249,08/24/17 01:15:00 AM,78828,13.076,,,,
250,08/24/17 01:30:00 AM,78853,13.076,,,,
251,08/24/17 01:45:00 AM,78838,12.980,,,,
252,08/24/17 02:00:00 AM,78826,12.980,,,,
253,08/24/17 02:15:00 AM,78813,12.980,,,,
254,08/24/17 02:30:00 AM,78789,12.980,,,,
255,08/24/17 02:45:00 AM,78776,12.980,,,,
256,08/24/17 03:00:00 AM,78789,12.980,,,,
257,08/24/17 03:15:00 AM,78789,12.980,,,,
258,08/24/17 03:30:00 AM,78789,12.980,,,,
259,08/24/17 03:45:00 AM,78789,12.980,,,,
260,08/24/17 04:00:00 AM,78776,12.980,,,,
261,08/24/17 04:15:00 AM,78752,12.980,,,,
262,08/24/17 04:30:00 AM,78764,12.980,,,,
263,08/24/17 04:45:00 AM,78740,12.980,,,,
264,08/24/17 05:00:00 AM,78725,12.883,,,,
265,08/24/17 05:15:00 AM,78737,12.883,,,,
266,08/24/17 05:30:00 AM,78712,12.883,,,,
267,08/24/17 05:45:00 AM,78712,12.883,,,,
268,08/24/17 06:00:00 AM,78725,12.883,,,,
269,08/24/17 06:15:00 AM,78749,12.883,,,,
270,08/24/17 06:30:00 AM,78749,12.883,,,,
271,08/24/17 06:45:00 AM,78762,12.883,,,,
272,08/24/17 07:00:00 AM,78774,12.883,,,,
273,08/24/17 07:15:00 AM,78762,12.883,,,,
274,08/24/17 07:30:00 AM,78786,12.883,,,,
275,08/24/17 07:45:00 AM,78786,12.883,,,,
276,08/24/17 08:00:00 AM,78786,12.883,,,,
277,08/24/17 08:15:00 AM,78786,12.883,,,,
278,08/24/17 08:30:00 AM,78786,12.883,,,,
279,08/24/17 08:45:00 AM,78786,12.883,,,,
280,08/24/17 09:00:00 AM,78776,12.980,,,,
281,08/24/17 09:15:00 AM,78789,12.980,,,,
282,08/24/17 09:30:00 AM,78764,12.980,,,,
283,08/24/17 09:45:00 AM,78752,12.980,,,,
284,08/24/17 10:00:00 AM,78752,12.980,,,,
285,08/24/17 10:15:00 AM,78740,12.980,,,,
286,08/24/17 10:30:00 AM,78727,12.980,,,,
287,08/24/17 10:45:00 AM,78727,12.980,,,,
288,08/24/17 11:00:00 AM,78727,12.980,,,,
289,08/24/17 11:15:00 AM,78703,12.980,,,,
290,08/24/17 11:30:00 AM,78703,12.980,,,,
291,08/24/17 11:45:00 AM,78681,13.076,,,,
292,08/24/17 12:00:00 PM,78668,13.076,,,,
293,08/24/17 12:15:00 PM,78681,13.076,,,,
294,08/24/17 12:30:00 PM,78693,13.076,,,,
295,08/24/17 12:45:00 PM,78693,13.076,,,,
296,08/24/17 01:00:00 PM,78705,13.076,,,,
297,08/24/17 01:15:00 PM,78681,13.076,,,,
298,08/24/17 01:30:00 PM,78668,13.076,,,,
299,08/24/17 01:45:00 PM,78668,13.076,,,,
300,08/24/17 02:00:00 PM,78681,13.076,,,,
301,08/24/17 02:15:00 PM,78668,13.076,,,,
302,08/24/17 02:30:00 PM,78668,13.076,,,,
303,08/24/17 02:45:00 PM,78656,13.076,,,,
304,08/24/17 03:00:00 PM,78619,13.076,,,,
305,08/24/17 03:15:00 PM,78607,13.076,,,,
306,08/24/17 03:30:00 PM,78582,13.076,,,,
307,08/24/17 03:45:00 PM,78582,13.076,,,,
308,08/24/17 04:00:00 PM,78570,13.076,,,,
309,08/24/17 04:15:00 PM,78570,13.076,,,,
310,08/24/17 04:30:00 PM,78558,13.076,,,,
311,08/24/17 04:45:00 PM,78546,13.076,,,,
312,08/24/17 05:00:00 PM,78523,13.173,,,,
313,08/24/17 05:15:00 PM,78511,13.173,,,,
314,08/24/17 05:30:00 PM,78523,13.173,,,,
315,08/24/17 05:45:00 PM,78511,13.173,,,,
316,08/24/17 06:00:00 PM,78511,13.173,,,,
317,08/24/17 06:15:00 PM,78511,13.173,,,,
318,08/24/17 06:30:00 PM,78511,13.173,,,,
319,08/24/17 06:45:00 PM,78499,13.173,,,,
320,08/24/17 07:00:00 PM,78511,13.173,,,,
321,08/24/17 07:15:00 PM,78511,13.173,,,,
322,08/24/17 07:30:00 PM,78511,13.173,,,,
323,08/24/17 07:45:00 PM,78536,13.173,,,,
324,08/24/17 08:00:00 PM,78536,13.173,,,,
325,08/24/17 08:15:00 PM,78536,13.173,,,,
326,08/24/17 08:30:00 PM,78536,13.173,,,,
327,08/24/17 08:45:00 PM,78560,13.173,,,,
328,08/24/17 09:00:00 PM,78597,13.173,,,,
329,08/24/17 09:15:00 PM,78634,13.173,,,,
330,08/24/17 09:30:00 PM,78622,13.173,,,,
331,08/24/17 09:45:00 PM,78646,13.173,,,,
332,08/24/17 10:00:00 PM,78659,13.173,,,,
333,08/24/17 10:15:00 PM,78659,13.173,,,,
334,08/24/17 10:30:00 PM,78659,13.173,,,,
335,08/24/17 10:45:00 PM,78646,13.173,,,,
336,08/24/17 11:00:00 PM,78671,13.173,,,,
337,08/24/17 11:15:00 PM,78671,13.173,,,,
338,08/24/17 11:30:00 PM,78659,13.173,,,,
339,08/24/17 11:45:00 PM,78671,13.173,,,,
340,08/25/17 12:00:00 AM,78656,13.076,,,,
341,08/25/17 12:15:00 AM,78632,13.076,,,,
342,08/25/17 12:30:00 AM,78656,13.076,,,,
343,08/25/17 12:45:00 AM,78668,13.076,,,,
344,08/25/17 01:00:00 AM,78644,13.076,,,,
345,08/25/17 01:15:00 AM,78644,13.076,,,,
346,08/25/17 01:30:00 AM,78632,13.076,,,,
347,08/25/17 01:45:00 AM,78619,13.076,,,,
348,08/25/17 02:00:00 AM,78607,13.076,,,,
349,08/25/17 02:15:00 AM,78607,13.076,,,,
350,08/25/17 02:30:00 AM,78619,13.076,,,,
351,08/25/17 02:45:00 AM,78607,13.076,,,,
352,08/25/17 03:00:00 AM,78607,13.076,,,,
353,08/25/17 03:15:00 AM,78607,13.076,,,,
354,08/25/17 03:30:00 AM,78607,13.076,,,,
355,08/25/17 03:45:00 AM,78619,13.076,,,,
356,08/25/17 04:00:00 AM,78617,12.980,,,,
357,08/25/17 04:15:00 AM,78617,12.980,,,,
358,08/25/17 04:30:00 AM,78617,12.980,,,,
359,08/25/17 04:45:00 AM,78617,12.980,,,,
360,08/25/17 05:00:00 AM,78629,12.980,,,,
361,08/25/17 05:15:00 AM,78641,12.980,,,,
362,08/25/17 05:30:00 AM,78654,12.980,,,,
363,08/25/17 05:45:00 AM,78639,12.883,,,,
364,08/25/17 06:00:00 AM,78663,12.883,,,,
365,08/25/17 06:15:00 AM,78663,12.883,,,,
366,08/25/17 06:30:00 AM,78651,12.883,,,,
367,08/25/17 06:45:00 AM,78663,12.883,,,,
368,08/25/17 07:00:00 AM,78676,12.883,,,,
369,08/25/17 07:15:00 AM,78685,12.787,,,,
370,08/25/17 07:30:00 AM,78710,12.787,,,,
371,08/25/17 07:45:00 AM,78698,12.787,,,,
372,08/25/17 08:00:00 AM,78685,12.787,,,,
373,08/25/17 08:15:00 AM,78685,12.787,,,,
374,08/25/17 08:30:00 AM,78685,12.787,,,,
375,08/25/17 08:45:00 AM,78688,12.883,,,,
376,08/25/17 09:00:00 AM,78688,12.883,,,,
377,08/25/17 09:15:00 AM,78676,12.883,,,,
378,08/25/17 09:30:00 AM,78676,12.883,,,,
379,08/25/17 09:45:00 AM,78688,12.883,,,,
380,08/25/17 10:00:00 AM,78688,12.883,,,,
381,08/25/17 10:15:00 AM,78700,12.883,,,,
382,08/25/17 10:30:00 AM,78703,12.980,,,,
383,08/25/17 10:45:00 AM,78703,12.980,,,,
384,08/25/17 11:00:00 AM,78690,12.980,,,,
385,08/25/17 11:15:00 AM,78715,12.980,,,,
386,08/25/17 11:30:00 AM,78690,12.980,,,,
387,08/25/17 11:45:00 AM,78690,12.980,,,,
388,08/25/17 12:00:00 PM,78678,12.980,,,,
389,08/25/17 12:15:00 PM,78690,12.980,,,,
390,08/25/17 12:30:00 PM,78666,12.980,,,,
391,08/25/17 12:45:00 PM,78678,12.980,,,,
392,08/25/17 01:00:00 PM,78654,12.980,,,,
393,08/25/17 01:15:00 PM,78668,13.076,,,,
394,08/25/17 01:30:00 PM,78644,13.076,,,,
395,08/25/17 01:45:00 PM,78644,13.076,,,,
396,08/25/17 02:00:00 PM,78619,13.076,,,,
397,08/25/17 02:15:00 PM,78607,13.076,,,,
398,08/25/17 02:30:00 PM,78595,13.076,,,,
399,08/25/17 02:45:00 PM,78570,13.076,,,,
400,08/25/17 03:00:00 PM,78558,13.076,,,,
401,08/25/17 03:15:00 PM,78570,13.076,,,,
402,08/25/17 03:30:00 PM,78582,13.076,,,,
403,08/25/17 03:45:00 PM,78582,13.076,,,,
404,08/25/17 04:00:00 PM,78558,13.076,,,,
405,08/25/17 04:15:00 PM,78570,13.076,,,,
406,08/25/17 04:30:00 PM,78570,13.076,,,,
407,08/25/17 04:45:00 PM,78570,13.076,,,,
408,08/25/17 05:00:00 PM,78595,13.076,,,,
409,08/25/17 05:15:00 PM,78607,13.076,,,,
410,08/25/17 05:30:00 PM,78607,13.076,,,,
411,08/25/17 05:45:00 PM,78607,13.076,,,,
412,08/25/17 06:00:00 PM,78619,13.076,,,,
413,08/25/17 06:15:00 PM,78632,13.076,,,,
414,08/25/17 06:30:00 PM,78644,13.076,,,,
415,08/25/17 06:45:00 PM,78632,13.076,,,,
416,08/25/17 07:00:00 PM,78644,13.076,,,,
417,08/25/17 07:15:00 PM,78656,13.076,,,,
418,08/25/17 07:30:00 PM,78656,13.076,,,,
419,08/25/17 07:45:00 PM,78681,13.076,,,,
420,08/25/17 08:00:00 PM,78708,13.173,,,,
421,08/25/17 08:15:00 PM,78732,13.173,,,,
422,08/25/17 08:30:00 PM,78718,13.076,,,,
423,08/25/17 08:45:00 PM,78767,13.076,,,,
424,08/25/17 09:00:00 PM,78779,13.076,,,,
425,08/25/17 09:15:00 PM,78791,13.076,,,,
426,08/25/17 09:30:00 PM,78828,13.076,,,,
427,08/25/17 09:45:00 PM,78840,13.076,,,,
428,08/25/17 10:00:00 PM,78865,13.076,,,,
429,08/25/17 10:15:00 PM,78865,13.076,,,,
430,08/25/17 10:30:00 PM,78890,13.076,,,,
431,08/25/17 10:45:00 PM,78902,13.076,,,,
432,08/25/17 11:00:00 PM,78899,12.980,,,,
433,08/25/17 11:15:00 PM,78912,12.980,,,,
434,08/25/17 11:30:00 PM,78924,12.980,,,,
435,08/25/17 11:45:00 PM,78936,12.980,,,,
436,08/26/17 12:00:00 AM,78936,12.980,,,,
437,08/26/17 12:15:00 AM,78948,12.980,,,,
438,08/26/17 12:30:00 AM,78936,12.980,,,,
439,08/26/17 12:45:00 AM,78948,12.980,,,,
440,08/26/17 01:00:00 AM,78948,12.980,,,,
441,08/26/17 01:15:00 AM,78948,12.980,,,,
442,08/26/17 01:30:00 AM,78958,12.883,,,,
443,08/26/17 01:45:00 AM,78958,12.883,,,,
444,08/26/17 02:00:00 AM,78970,12.883,,,,
445,08/26/17 02:15:00 AM,78958,12.883,,,,
446,08/26/17 02:30:00 AM,78970,12.883,,,,
447,08/26/17 02:45:00 AM,78946,12.883,,,,
448,08/26/17 03:00:00 AM,78946,12.883,,,,
449,08/26/17 03:15:00 AM,78946,12.883,,,,
450,08/26/17 03:30:00 AM,78946,12.883,,,,
451,08/26/17 03:45:00 AM,78956,12.787,,,,
452,08/26/17 04:00:00 AM,78943,12.787,,,,
453,08/26/17 04:15:00 AM,78956,12.787,,,,
454,08/26/17 04:30:00 AM,78931,12.787,,,,
455,08/26/17 04:45:00 AM,78943,12.787,,,,
456,08/26/17 05:00:00 AM,78956,12.787,,,,
457,08/26/17 05:15:00 AM,78968,12.787,,,,
458,08/26/17 05:30:00 AM,78956,12.787,,,,
459,08/26/17 05:45:00 AM,78968,12.787,,,,
460,08/26/17 06:00:00 AM,78968,12.787,,,,
461,08/26/17 06:15:00 AM,78965,12.690,,,,
462,08/26/17 06:30:00 AM,78990,12.690,,,,
463,08/26/17 06:45:00 AM,79002,12.690,,,,
464,08/26/17 07:00:00 AM,79027,12.690,,,,
465,08/26/17 07:15:00 AM,79014,12.690,,,,
466,08/26/17 07:30:00 AM,79027,12.690,,,,
467,08/26/17 07:45:00 AM,79027,12.690,,,,
468,08/26/17 08:00:00 AM,79014,12.690,,,,
469,08/26/17 08:15:00 AM,79027,12.690,,,,
470,08/26/17 08:30:00 AM,79027,12.690,,,,
471,08/26/17 08:45:00 AM,79017,12.787,,,,
472,08/26/17 09:00:00 AM,79017,12.787,,,,
473,08/26/17 09:15:00 AM,79017,12.787,,,,
474,08/26/17 09:30:00 AM,79029,12.787,,,,
475,08/26/17 09:45:00 AM,79029,12.787,,,,
476,08/26/17 10:00:00 AM,79044,12.883,,,,
477,08/26/17 10:15:00 AM,79044,12.883,,,,
478,08/26/17 10:30:00 AM,79044,12.883,,,,
479,08/26/17 10:45:00 AM,79032,12.883,,,,
480,08/26/17 11:00:00 AM,79044,12.883,,,,
481,08/26/17 11:15:00 AM,79044,12.883,,,,
482,08/26/17 11:30:00 AM,79044,12.883,,,,
483,08/26/17 11:45:00 AM,79059,12.980,,,,
484,08/26/17 12:00:00 PM,79047,12.980,,,,
485,08/26/17 12:15:00 PM,79034,12.980,,,,
486,08/26/17 12:30:00 PM,79010,12.980,,,,
487,08/26/17 12:45:00 PM,79010,12.980,,,,
488,08/26/17 01:00:00 PM,78998,12.980,,,,
489,08/26/17 01:15:00 PM,78998,12.980,,,,
490,08/26/17 01:30:00 PM,78985,12.980,,,,
491,08/26/17 01:45:00 PM,78985,12.980,,,,
492,08/26/17 02:00:00 PM,78961,12.980,,,,
493,08/26/17 02:15:00 PM,78948,12.980,,,,
